country,iso3,who_region,who_region_long,reference_date,date_type,cases
Brazil,BRA,AMRO,Region of the Americas,2022-01-02,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-01-08,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-02-01,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-13,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-21,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-28,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-29,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-31,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-06-02,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-06-03,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-06-04,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-06-05,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2022-06-06,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2022-06-08,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2022-06-11,Onset,3
Brazil,BRA,AMRO,Region of the Americas,2022-06-12,Onset,4
Brazil,BRA,AMRO,Region of the Americas,2022-06-14,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2022-06-15,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2022-06-16,Onset,3
Brazil,BRA,AMRO,Region of the Americas,2022-06-17,Onset,6
Brazil,BRA,AMRO,Region of the Americas,2022-06-18,Onset,7
Brazil,BRA,AMRO,Region of the Americas,2022-06-19,Onset,9
Brazil,BRA,AMRO,Region of the Americas,2022-06-20,Onset,6
Brazil,BRA,AMRO,Region of the Americas,2022-06-21,Onset,12
Brazil,BRA,AMRO,Region of the Americas,2022-06-22,Onset,16
Brazil,BRA,AMRO,Region of the Americas,2022-06-23,Onset,9
Brazil,BRA,AMRO,Region of the Americas,2022-06-24,Onset,19
Brazil,BRA,AMRO,Region of the Americas,2022-06-25,Onset,23
Brazil,BRA,AMRO,Region of the Americas,2022-06-26,Onset,8
Brazil,BRA,AMRO,Region of the Americas,2022-06-27,Onset,31
Brazil,BRA,AMRO,Region of the Americas,2022-06-28,Onset,23
Brazil,BRA,AMRO,Region of the Americas,2022-06-29,Onset,20
Brazil,BRA,AMRO,Region of the Americas,2022-06-30,Onset,30
Brazil,BRA,AMRO,Region of the Americas,2022-07-01,Onset,33
Brazil,BRA,AMRO,Region of the Americas,2022-07-02,Onset,27
Brazil,BRA,AMRO,Region of the Americas,2022-07-03,Onset,35
Brazil,BRA,AMRO,Region of the Americas,2022-07-04,Onset,38
Brazil,BRA,AMRO,Region of the Americas,2022-07-05,Onset,48
Brazil,BRA,AMRO,Region of the Americas,2022-07-06,Onset,37
Brazil,BRA,AMRO,Region of the Americas,2022-07-07,Onset,46
Brazil,BRA,AMRO,Region of the Americas,2022-07-08,Onset,51
Brazil,BRA,AMRO,Region of the Americas,2022-07-09,Onset,36
Brazil,BRA,AMRO,Region of the Americas,2022-07-10,Onset,68
Brazil,BRA,AMRO,Region of the Americas,2022-07-11,Onset,63
Brazil,BRA,AMRO,Region of the Americas,2022-07-12,Onset,62
Brazil,BRA,AMRO,Region of the Americas,2022-07-13,Onset,69
Brazil,BRA,AMRO,Region of the Americas,2022-07-14,Onset,69
Brazil,BRA,AMRO,Region of the Americas,2022-07-15,Onset,96
Brazil,BRA,AMRO,Region of the Americas,2022-07-16,Onset,78
Brazil,BRA,AMRO,Region of the Americas,2022-07-17,Onset,80
Brazil,BRA,AMRO,Region of the Americas,2022-07-18,Onset,133
Brazil,BRA,AMRO,Region of the Americas,2022-07-19,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-07-19,Onset,98
Brazil,BRA,AMRO,Region of the Americas,2022-07-20,Onset,125
Brazil,BRA,AMRO,Region of the Americas,2022-07-21,Onset,102
Brazil,BRA,AMRO,Region of the Americas,2022-07-22,Onset,113
Brazil,BRA,AMRO,Region of the Americas,2022-07-23,Onset,98
Brazil,BRA,AMRO,Region of the Americas,2022-07-24,Onset,103
Brazil,BRA,AMRO,Region of the Americas,2022-07-25,Onset,135
Brazil,BRA,AMRO,Region of the Americas,2022-07-26,Onset,127
Brazil,BRA,AMRO,Region of the Americas,2022-07-27,Onset,131
Brazil,BRA,AMRO,Region of the Americas,2022-07-28,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-07-28,Onset,110
Brazil,BRA,AMRO,Region of the Americas,2022-07-29,Diagnosis,2
Brazil,BRA,AMRO,Region of the Americas,2022-07-29,Onset,139
Brazil,BRA,AMRO,Region of the Americas,2022-07-30,Onset,141
Brazil,BRA,AMRO,Region of the Americas,2022-07-31,Onset,92
Brazil,BRA,AMRO,Region of the Americas,2022-08-01,Onset,192
Brazil,BRA,AMRO,Region of the Americas,2022-08-02,Onset,148
Brazil,BRA,AMRO,Region of the Americas,2022-08-03,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-03,Onset,122
Brazil,BRA,AMRO,Region of the Americas,2022-08-04,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-04,Onset,114
Brazil,BRA,AMRO,Region of the Americas,2022-08-05,Diagnosis,3
Brazil,BRA,AMRO,Region of the Americas,2022-08-05,Reported,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-05,Onset,142
Brazil,BRA,AMRO,Region of the Americas,2022-08-06,Onset,107
Brazil,BRA,AMRO,Region of the Americas,2022-08-07,Onset,131
Brazil,BRA,AMRO,Region of the Americas,2022-08-08,Reported,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-08,Onset,142
Brazil,BRA,AMRO,Region of the Americas,2022-08-09,Onset,107
Brazil,BRA,AMRO,Region of the Americas,2022-08-10,Diagnosis,4
Brazil,BRA,AMRO,Region of the Americas,2022-08-10,Reported,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-10,Onset,147
Brazil,BRA,AMRO,Region of the Americas,2022-08-11,Reported,2
Brazil,BRA,AMRO,Region of the Americas,2022-08-11,Onset,112
Brazil,BRA,AMRO,Region of the Americas,2022-08-12,Onset,132
Brazil,BRA,AMRO,Region of the Americas,2022-08-13,Onset,108
Brazil,BRA,AMRO,Region of the Americas,2022-08-14,Onset,127
Brazil,BRA,AMRO,Region of the Americas,2022-08-15,Onset,134
Brazil,BRA,AMRO,Region of the Americas,2022-08-16,Diagnosis,2
Brazil,BRA,AMRO,Region of the Americas,2022-08-16,Reported,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-16,Onset,96
Brazil,BRA,AMRO,Region of the Americas,2022-08-17,Onset,108
Brazil,BRA,AMRO,Region of the Americas,2022-08-18,Diagnosis,2
Brazil,BRA,AMRO,Region of the Americas,2022-08-18,Onset,125
Brazil,BRA,AMRO,Region of the Americas,2022-08-19,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-19,Reported,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-19,Onset,110
Brazil,BRA,AMRO,Region of the Americas,2022-08-20,Onset,132
Brazil,BRA,AMRO,Region of the Americas,2022-08-21,Onset,111
Brazil,BRA,AMRO,Region of the Americas,2022-08-22,Onset,106
Brazil,BRA,AMRO,Region of the Americas,2022-08-23,Onset,94
Brazil,BRA,AMRO,Region of the Americas,2022-08-24,Onset,112
Brazil,BRA,AMRO,Region of the Americas,2022-08-25,Onset,105
Brazil,BRA,AMRO,Region of the Americas,2022-08-26,Onset,91
Brazil,BRA,AMRO,Region of the Americas,2022-08-27,Onset,76
Brazil,BRA,AMRO,Region of the Americas,2022-08-28,Onset,87
Brazil,BRA,AMRO,Region of the Americas,2022-08-29,Diagnosis,2
Brazil,BRA,AMRO,Region of the Americas,2022-08-29,Onset,107
Brazil,BRA,AMRO,Region of the Americas,2022-08-30,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-30,Onset,79
Brazil,BRA,AMRO,Region of the Americas,2022-08-31,Onset,72
Brazil,BRA,AMRO,Region of the Americas,2022-09-01,Onset,116
Brazil,BRA,AMRO,Region of the Americas,2022-09-02,Onset,92
Brazil,BRA,AMRO,Region of the Americas,2022-09-03,Onset,71
Brazil,BRA,AMRO,Region of the Americas,2022-09-04,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-04,Onset,78
Brazil,BRA,AMRO,Region of the Americas,2022-09-05,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-05,Onset,100
Brazil,BRA,AMRO,Region of the Americas,2022-09-06,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-06,Onset,82
Brazil,BRA,AMRO,Region of the Americas,2022-09-07,Onset,84
Brazil,BRA,AMRO,Region of the Americas,2022-09-08,Onset,85
Brazil,BRA,AMRO,Region of the Americas,2022-09-09,Onset,95
Brazil,BRA,AMRO,Region of the Americas,2022-09-10,Onset,74
Brazil,BRA,AMRO,Region of the Americas,2022-09-11,Onset,56
Brazil,BRA,AMRO,Region of the Americas,2022-09-12,Onset,90
Brazil,BRA,AMRO,Region of the Americas,2022-09-13,Onset,69
Brazil,BRA,AMRO,Region of the Americas,2022-09-14,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-14,Onset,63
Brazil,BRA,AMRO,Region of the Americas,2022-09-15,Onset,83
Brazil,BRA,AMRO,Region of the Americas,2022-09-16,Onset,65
Brazil,BRA,AMRO,Region of the Americas,2022-09-17,Onset,53
Brazil,BRA,AMRO,Region of the Americas,2022-09-18,Onset,62
