country,iso3,who_region,who_region_long,reference_date,date_type,cases
Central African Republic,CAF,AFRO,African Region,2022-01-10,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-02-16,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-02-19,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-03-10,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-06-10,Reported,6
Central African Republic,CAF,AFRO,African Region,2022-07-14,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-07-15,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-07-30,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-08-11,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-08-12,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-08-29,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-09-10,Reported,1
Central African Republic,CAF,AFRO,African Region,2022-09-21,Reported,1
