country,iso3,who_region,who_region_long,reference_date,date_type,cases
Costa Rica,CRI,AMRO,Region of the Americas,2022-07-13,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-07-20,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-09-20,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-09-25,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-09-27,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-10-05,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-10-09,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-10-16,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-10-24,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-10-26,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-10-27,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-10-28,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-10-30,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-10-31,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-01,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-03,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-05,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-07,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-08,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-13,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-14,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-15,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-16,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-18,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-20,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-25,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-26,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-27,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-28,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-29,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-11-30,Onset,4
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-03,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-04,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-05,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-08,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-10,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-11,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-12,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-13,Diagnosis,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-13,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-15,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-16,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-17,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-18,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-19,Onset,7
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-21,Onset,4
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-23,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-24,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-25,Onset,4
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-26,Onset,7
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-27,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-28,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-29,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-30,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2022-12-31,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-01,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-02,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-03,Onset,4
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-04,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-05,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-06,Onset,4
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-07,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-08,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-09,Onset,4
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-10,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-11,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-12,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-13,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-14,Onset,4
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-16,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-17,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-18,Onset,3
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-20,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-24,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-25,Onset,4
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-26,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-27,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-28,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-30,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-01-31,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-02-01,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-02-02,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-02-08,Onset,5
Costa Rica,CRI,AMRO,Region of the Americas,2023-02-09,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-02-11,Onset,1
Costa Rica,CRI,AMRO,Region of the Americas,2023-02-12,Onset,2
Costa Rica,CRI,AMRO,Region of the Americas,2023-02-13,Onset,5
Costa Rica,CRI,AMRO,Region of the Americas,2023-02-15,Onset,1
