country,iso3,who_region,who_region_long,reference_date,date_type,cases
El Salvador,SLV,AMRO,Region of the Americas,2022-08-22,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-09-07,Onset,3
El Salvador,SLV,AMRO,Region of the Americas,2022-09-16,Onset,2
El Salvador,SLV,AMRO,Region of the Americas,2022-09-19,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-09-26,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-09-27,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-09-28,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-09,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-10,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-14,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-19,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-21,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-22,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-24,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-01,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-03,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-05,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-06,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-08,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-12,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-13,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-14,Onset,5
El Salvador,SLV,AMRO,Region of the Americas,2022-11-15,Onset,2
El Salvador,SLV,AMRO,Region of the Americas,2022-11-17,Onset,2
El Salvador,SLV,AMRO,Region of the Americas,2022-11-18,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-19,Onset,4
El Salvador,SLV,AMRO,Region of the Americas,2022-11-20,Onset,5
El Salvador,SLV,AMRO,Region of the Americas,2022-11-21,Onset,3
El Salvador,SLV,AMRO,Region of the Americas,2022-11-22,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-23,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-25,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-26,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-11-27,Onset,2
El Salvador,SLV,AMRO,Region of the Americas,2022-11-28,Onset,2
El Salvador,SLV,AMRO,Region of the Americas,2022-11-29,Onset,3
El Salvador,SLV,AMRO,Region of the Americas,2022-12-01,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-12-02,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-12-03,Onset,2
El Salvador,SLV,AMRO,Region of the Americas,2022-12-05,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-12-06,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-12-08,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-12-09,Onset,3
El Salvador,SLV,AMRO,Region of the Americas,2022-12-11,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-12-12,Onset,1
