country,iso3,who_region,who_region_long,reference_date,date_type,cases
Ghana,GHA,AFRO,African Region,2022-02-06,Reported,1
Ghana,GHA,AFRO,African Region,2022-02-09,Onset,1
Ghana,GHA,AFRO,African Region,2022-03-04,Reported,1
Ghana,GHA,AFRO,African Region,2022-03-06,Reported,1
Ghana,GHA,AFRO,African Region,2022-05-06,Reported,1
Ghana,GHA,AFRO,African Region,2022-05-20,Onset,1
Ghana,GHA,AFRO,African Region,2022-05-23,Onset,1
Ghana,GHA,AFRO,African Region,2022-05-27,Onset,2
Ghana,GHA,AFRO,African Region,2022-05-28,Onset,1
Ghana,GHA,AFRO,African Region,2022-05-30,Reported,3
Ghana,GHA,AFRO,African Region,2022-06-04,Onset,1
Ghana,GHA,AFRO,African Region,2022-06-06,Onset,1
Ghana,GHA,AFRO,African Region,2022-06-07,Onset,1
Ghana,GHA,AFRO,African Region,2022-06-09,Reported,8
Ghana,GHA,AFRO,African Region,2022-06-10,Reported,1
Ghana,GHA,AFRO,African Region,2022-06-17,Reported,1
Ghana,GHA,AFRO,African Region,2022-06-22,Onset,1
