country,iso3,who_region,who_region_long,reference_date,date_type,cases
Nigeria,NGA,AFRO,African Region,2022-01-06,Reported,5
Nigeria,NGA,AFRO,African Region,2022-01-06,Onset,1
Nigeria,NGA,AFRO,African Region,2022-01-10,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-01,Onset,2
Nigeria,NGA,AFRO,African Region,2022-02-05,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-06,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-07,Reported,1
Nigeria,NGA,AFRO,African Region,2022-02-07,Onset,2
Nigeria,NGA,AFRO,African Region,2022-02-18,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-19,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-25,Onset,1
Nigeria,NGA,AFRO,African Region,2022-03-04,Reported,1
Nigeria,NGA,AFRO,African Region,2022-03-05,Reported,1
Nigeria,NGA,AFRO,African Region,2022-03-06,Reported,1
Nigeria,NGA,AFRO,African Region,2022-03-06,Onset,1
Nigeria,NGA,AFRO,African Region,2022-03-08,Reported,2
Nigeria,NGA,AFRO,African Region,2022-03-11,Onset,1
Nigeria,NGA,AFRO,African Region,2022-04-02,Reported,1
Nigeria,NGA,AFRO,African Region,2022-04-04,Reported,1
Nigeria,NGA,AFRO,African Region,2022-04-12,Onset,1
Nigeria,NGA,AFRO,African Region,2022-04-15,Reported,1
Nigeria,NGA,AFRO,African Region,2022-05-05,Reported,1
Nigeria,NGA,AFRO,African Region,2022-05-05,Onset,3
Nigeria,NGA,AFRO,African Region,2022-05-06,Onset,1
Nigeria,NGA,AFRO,African Region,2022-05-10,Reported,1
Nigeria,NGA,AFRO,African Region,2022-05-17,Reported,1
Nigeria,NGA,AFRO,African Region,2022-05-31,Reported,2
Nigeria,NGA,AFRO,African Region,2022-06-02,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-03,Reported,2
Nigeria,NGA,AFRO,African Region,2022-06-03,Onset,2
Nigeria,NGA,AFRO,African Region,2022-06-04,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-06,Reported,2
Nigeria,NGA,AFRO,African Region,2022-06-07,Reported,1
Nigeria,NGA,AFRO,African Region,2022-06-07,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-08,Onset,2
Nigeria,NGA,AFRO,African Region,2022-06-09,Onset,4
Nigeria,NGA,AFRO,African Region,2022-06-10,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-11,Reported,1
Nigeria,NGA,AFRO,African Region,2022-06-11,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-12,Onset,4
Nigeria,NGA,AFRO,African Region,2022-06-14,Onset,2
Nigeria,NGA,AFRO,African Region,2022-06-15,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-16,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-17,Onset,4
Nigeria,NGA,AFRO,African Region,2022-06-18,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-19,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-20,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-21,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-22,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-23,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-24,Onset,4
Nigeria,NGA,AFRO,African Region,2022-06-25,Reported,3
Nigeria,NGA,AFRO,African Region,2022-06-25,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-26,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-27,Reported,1
Nigeria,NGA,AFRO,African Region,2022-06-27,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-28,Reported,1
Nigeria,NGA,AFRO,African Region,2022-06-28,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-29,Reported,3
Nigeria,NGA,AFRO,African Region,2022-06-30,Onset,2
Nigeria,NGA,AFRO,African Region,2022-07-01,Reported,8
Nigeria,NGA,AFRO,African Region,2022-07-01,Onset,2
Nigeria,NGA,AFRO,African Region,2022-07-02,Onset,4
Nigeria,NGA,AFRO,African Region,2022-07-03,Onset,2
Nigeria,NGA,AFRO,African Region,2022-07-04,Onset,4
Nigeria,NGA,AFRO,African Region,2022-07-05,Reported,1
Nigeria,NGA,AFRO,African Region,2022-07-06,Reported,1
Nigeria,NGA,AFRO,African Region,2022-07-06,Onset,5
Nigeria,NGA,AFRO,African Region,2022-07-07,Onset,2
Nigeria,NGA,AFRO,African Region,2022-07-08,Onset,2
Nigeria,NGA,AFRO,African Region,2022-07-09,Reported,1
Nigeria,NGA,AFRO,African Region,2022-07-10,Diagnosis,2
Nigeria,NGA,AFRO,African Region,2022-07-10,Reported,1
Nigeria,NGA,AFRO,African Region,2022-07-10,Onset,4
Nigeria,NGA,AFRO,African Region,2022-07-13,Reported,1
Nigeria,NGA,AFRO,African Region,2022-07-18,Diagnosis,1
Nigeria,NGA,AFRO,African Region,2022-09-06,Onset,1
Nigeria,NGA,AFRO,African Region,2022-12-06,Onset,1
