country,iso3,who_region,who_region_long,reference_date,date_type,cases
Panama,PAN,AMRO,Region of the Americas,2022-06-28,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-07-31,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-07,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-10,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-12,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-15,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-08-16,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-19,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-25,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-26,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-27,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-09-08,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-09-17,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-09-23,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-10-15,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-10-23,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-10-26,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-10-27,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-10-30,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-10-31,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-01,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-03,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-04,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-05,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-07,Onset,5
Panama,PAN,AMRO,Region of the Americas,2022-11-09,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-10,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-11,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-12,Onset,3
Panama,PAN,AMRO,Region of the Americas,2022-11-13,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-14,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-16,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-17,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-18,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-19,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-21,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-22,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-23,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-24,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-25,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-26,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-11-27,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-28,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-11-30,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-12-03,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-12-04,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-12-06,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-12-10,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-12-12,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-12-13,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-12-14,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-12-15,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-12-16,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-12-19,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-12-20,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-12-23,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-12-26,Onset,3
Panama,PAN,AMRO,Region of the Americas,2022-12-28,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-12-29,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-12-30,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-12-31,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-01,Onset,3
Panama,PAN,AMRO,Region of the Americas,2023-01-02,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-04,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-05,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-06,Onset,3
Panama,PAN,AMRO,Region of the Americas,2023-01-07,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-08,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-01-09,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-01-10,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-11,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-13,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-14,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-15,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-16,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-01-17,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-19,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-20,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-21,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-01-23,Onset,7
Panama,PAN,AMRO,Region of the Americas,2023-01-25,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-01-26,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-01-27,Onset,3
Panama,PAN,AMRO,Region of the Americas,2023-01-28,Onset,4
Panama,PAN,AMRO,Region of the Americas,2023-01-31,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-02-01,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-02-02,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-02-03,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-02-04,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-02-05,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-02-06,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-02-07,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-02-08,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-02-09,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-02-10,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-02-11,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-02-12,Onset,3
Panama,PAN,AMRO,Region of the Americas,2023-02-13,Onset,4
Panama,PAN,AMRO,Region of the Americas,2023-02-14,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-02-15,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-02-16,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-02-17,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-02-18,Onset,1
Panama,PAN,AMRO,Region of the Americas,2023-02-19,Onset,2
Panama,PAN,AMRO,Region of the Americas,2023-02-21,Onset,1
