country,iso3,who_region,who_region_long,reference_date,date_type,cases
Peru,PER,AMRO,Region of the Americas,2022-06-15,Onset,1
Peru,PER,AMRO,Region of the Americas,2022-06-17,Onset,2
Peru,PER,AMRO,Region of the Americas,2022-06-18,Onset,1
Peru,PER,AMRO,Region of the Americas,2022-06-19,Onset,1
Peru,PER,AMRO,Region of the Americas,2022-06-20,Onset,1
Peru,PER,AMRO,Region of the Americas,2022-06-21,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-06-23,Onset,1
Peru,PER,AMRO,Region of the Americas,2022-06-24,Onset,2
Peru,PER,AMRO,Region of the Americas,2022-06-25,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-06-26,Onset,1
Peru,PER,AMRO,Region of the Americas,2022-06-27,Onset,2
Peru,PER,AMRO,Region of the Americas,2022-06-28,Onset,5
Peru,PER,AMRO,Region of the Americas,2022-06-29,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-06-30,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-07-01,Onset,5
Peru,PER,AMRO,Region of the Americas,2022-07-02,Onset,7
Peru,PER,AMRO,Region of the Americas,2022-07-03,Onset,6
Peru,PER,AMRO,Region of the Americas,2022-07-04,Onset,9
Peru,PER,AMRO,Region of the Americas,2022-07-05,Onset,11
Peru,PER,AMRO,Region of the Americas,2022-07-06,Onset,11
Peru,PER,AMRO,Region of the Americas,2022-07-07,Onset,9
Peru,PER,AMRO,Region of the Americas,2022-07-08,Onset,9
Peru,PER,AMRO,Region of the Americas,2022-07-09,Onset,12
Peru,PER,AMRO,Region of the Americas,2022-07-10,Onset,15
Peru,PER,AMRO,Region of the Americas,2022-07-11,Onset,13
Peru,PER,AMRO,Region of the Americas,2022-07-12,Onset,17
Peru,PER,AMRO,Region of the Americas,2022-07-13,Onset,12
Peru,PER,AMRO,Region of the Americas,2022-07-14,Onset,17
Peru,PER,AMRO,Region of the Americas,2022-07-15,Onset,24
Peru,PER,AMRO,Region of the Americas,2022-07-16,Onset,13
Peru,PER,AMRO,Region of the Americas,2022-07-17,Onset,17
Peru,PER,AMRO,Region of the Americas,2022-07-18,Onset,15
Peru,PER,AMRO,Region of the Americas,2022-07-19,Onset,16
Peru,PER,AMRO,Region of the Americas,2022-07-20,Onset,16
Peru,PER,AMRO,Region of the Americas,2022-07-21,Onset,30
Peru,PER,AMRO,Region of the Americas,2022-07-22,Onset,20
Peru,PER,AMRO,Region of the Americas,2022-07-23,Onset,24
Peru,PER,AMRO,Region of the Americas,2022-07-24,Onset,18
Peru,PER,AMRO,Region of the Americas,2022-07-25,Onset,41
Peru,PER,AMRO,Region of the Americas,2022-07-26,Onset,26
Peru,PER,AMRO,Region of the Americas,2022-07-27,Onset,35
Peru,PER,AMRO,Region of the Americas,2022-07-28,Onset,40
Peru,PER,AMRO,Region of the Americas,2022-07-29,Onset,31
Peru,PER,AMRO,Region of the Americas,2022-07-30,Onset,43
Peru,PER,AMRO,Region of the Americas,2022-07-31,Onset,27
Peru,PER,AMRO,Region of the Americas,2022-08-01,Onset,62
Peru,PER,AMRO,Region of the Americas,2022-08-02,Onset,49
Peru,PER,AMRO,Region of the Americas,2022-08-03,Onset,23
Peru,PER,AMRO,Region of the Americas,2022-08-04,Onset,35
Peru,PER,AMRO,Region of the Americas,2022-08-05,Onset,39
Peru,PER,AMRO,Region of the Americas,2022-08-06,Onset,40
Peru,PER,AMRO,Region of the Americas,2022-08-07,Onset,34
Peru,PER,AMRO,Region of the Americas,2022-08-08,Onset,54
Peru,PER,AMRO,Region of the Americas,2022-08-09,Onset,37
Peru,PER,AMRO,Region of the Americas,2022-08-10,Onset,44
