country,iso3,who_region,who_region_long,reference_date,date_type,cases
United States of America,USA,AMRO,Region of the Americas,2022-04-29,Onset,1
United States of America,USA,AMRO,Region of the Americas,2022-05-04,Onset,2
United States of America,USA,AMRO,Region of the Americas,2022-05-07,Onset,1
United States of America,USA,AMRO,Region of the Americas,2022-05-10,Onset,1
United States of America,USA,AMRO,Region of the Americas,2022-05-11,Onset,2
United States of America,USA,AMRO,Region of the Americas,2022-05-12,Onset,2
United States of America,USA,AMRO,Region of the Americas,2022-05-15,Onset,1
United States of America,USA,AMRO,Region of the Americas,2022-05-16,Onset,3
United States of America,USA,AMRO,Region of the Americas,2022-05-17,Onset,3
United States of America,USA,AMRO,Region of the Americas,2022-05-18,Onset,2
United States of America,USA,AMRO,Region of the Americas,2022-05-19,Onset,1
United States of America,USA,AMRO,Region of the Americas,2022-05-20,Onset,1
United States of America,USA,AMRO,Region of the Americas,2022-05-21,Onset,1
United States of America,USA,AMRO,Region of the Americas,2022-05-22,Onset,2
United States of America,USA,AMRO,Region of the Americas,2022-05-23,Onset,4
United States of America,USA,AMRO,Region of the Americas,2022-05-24,Onset,3
United States of America,USA,AMRO,Region of the Americas,2022-05-25,Onset,2
United States of America,USA,AMRO,Region of the Americas,2022-05-26,Onset,2
United States of America,USA,AMRO,Region of the Americas,2022-05-27,Onset,4
United States of America,USA,AMRO,Region of the Americas,2022-05-29,Onset,5
United States of America,USA,AMRO,Region of the Americas,2022-05-30,Onset,5
United States of America,USA,AMRO,Region of the Americas,2022-05-31,Onset,8
United States of America,USA,AMRO,Region of the Americas,2022-06-01,Onset,8
United States of America,USA,AMRO,Region of the Americas,2022-06-02,Onset,12
United States of America,USA,AMRO,Region of the Americas,2022-06-03,Onset,5
United States of America,USA,AMRO,Region of the Americas,2022-06-04,Onset,4
United States of America,USA,AMRO,Region of the Americas,2022-06-05,Onset,4
United States of America,USA,AMRO,Region of the Americas,2022-06-06,Onset,18
United States of America,USA,AMRO,Region of the Americas,2022-06-07,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-06-07,Onset,20
United States of America,USA,AMRO,Region of the Americas,2022-06-08,Onset,11
United States of America,USA,AMRO,Region of the Americas,2022-06-09,Onset,6
United States of America,USA,AMRO,Region of the Americas,2022-06-10,Onset,22
United States of America,USA,AMRO,Region of the Americas,2022-06-11,Onset,12
United States of America,USA,AMRO,Region of the Americas,2022-06-12,Onset,27
United States of America,USA,AMRO,Region of the Americas,2022-06-13,Onset,22
United States of America,USA,AMRO,Region of the Americas,2022-06-14,Onset,22
United States of America,USA,AMRO,Region of the Americas,2022-06-15,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-06-15,Onset,36
United States of America,USA,AMRO,Region of the Americas,2022-06-16,Onset,28
United States of America,USA,AMRO,Region of the Americas,2022-06-17,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-06-17,Onset,30
United States of America,USA,AMRO,Region of the Americas,2022-06-18,Onset,25
United States of America,USA,AMRO,Region of the Americas,2022-06-19,Onset,35
United States of America,USA,AMRO,Region of the Americas,2022-06-20,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-06-20,Onset,35
United States of America,USA,AMRO,Region of the Americas,2022-06-21,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-06-21,Onset,39
United States of America,USA,AMRO,Region of the Americas,2022-06-22,Onset,62
United States of America,USA,AMRO,Region of the Americas,2022-06-23,Onset,52
United States of America,USA,AMRO,Region of the Americas,2022-06-24,Onset,46
United States of America,USA,AMRO,Region of the Americas,2022-06-25,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-06-25,Onset,57
United States of America,USA,AMRO,Region of the Americas,2022-06-26,Onset,64
United States of America,USA,AMRO,Region of the Americas,2022-06-27,Diagnosis,5
United States of America,USA,AMRO,Region of the Americas,2022-06-27,Onset,93
United States of America,USA,AMRO,Region of the Americas,2022-06-28,Onset,90
United States of America,USA,AMRO,Region of the Americas,2022-06-29,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-06-29,Onset,76
United States of America,USA,AMRO,Region of the Americas,2022-06-30,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-06-30,Onset,110
United States of America,USA,AMRO,Region of the Americas,2022-07-01,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-07-01,Onset,129
United States of America,USA,AMRO,Region of the Americas,2022-07-02,Diagnosis,2
United States of America,USA,AMRO,Region of the Americas,2022-07-02,Onset,125
United States of America,USA,AMRO,Region of the Americas,2022-07-03,Diagnosis,4
United States of America,USA,AMRO,Region of the Americas,2022-07-03,Onset,120
United States of America,USA,AMRO,Region of the Americas,2022-07-04,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-07-04,Onset,162
United States of America,USA,AMRO,Region of the Americas,2022-07-05,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-07-05,Onset,182
United States of America,USA,AMRO,Region of the Americas,2022-07-06,Diagnosis,2
United States of America,USA,AMRO,Region of the Americas,2022-07-06,Onset,168
United States of America,USA,AMRO,Region of the Americas,2022-07-07,Diagnosis,9
United States of America,USA,AMRO,Region of the Americas,2022-07-07,Onset,177
United States of America,USA,AMRO,Region of the Americas,2022-07-08,Diagnosis,11
United States of America,USA,AMRO,Region of the Americas,2022-07-08,Onset,219
United States of America,USA,AMRO,Region of the Americas,2022-07-09,Diagnosis,1
United States of America,USA,AMRO,Region of the Americas,2022-07-09,Onset,182
United States of America,USA,AMRO,Region of the Americas,2022-07-10,Diagnosis,3
United States of America,USA,AMRO,Region of the Americas,2022-07-10,Onset,215
United States of America,USA,AMRO,Region of the Americas,2022-07-11,Diagnosis,21
United States of America,USA,AMRO,Region of the Americas,2022-07-11,Onset,333
United States of America,USA,AMRO,Region of the Americas,2022-07-12,Diagnosis,19
United States of America,USA,AMRO,Region of the Americas,2022-07-12,Onset,212
United States of America,USA,AMRO,Region of the Americas,2022-07-13,Diagnosis,15
United States of America,USA,AMRO,Region of the Americas,2022-07-13,Onset,248
United States of America,USA,AMRO,Region of the Americas,2022-07-14,Diagnosis,25
United States of America,USA,AMRO,Region of the Americas,2022-07-14,Onset,260
United States of America,USA,AMRO,Region of the Americas,2022-07-15,Diagnosis,36
United States of America,USA,AMRO,Region of the Americas,2022-07-15,Onset,310
United States of America,USA,AMRO,Region of the Americas,2022-07-16,Diagnosis,14
United States of America,USA,AMRO,Region of the Americas,2022-07-16,Onset,241
United States of America,USA,AMRO,Region of the Americas,2022-07-17,Diagnosis,6
United States of America,USA,AMRO,Region of the Americas,2022-07-17,Onset,240
United States of America,USA,AMRO,Region of the Americas,2022-07-18,Diagnosis,23
United States of America,USA,AMRO,Region of the Americas,2022-07-18,Onset,368
United States of America,USA,AMRO,Region of the Americas,2022-07-19,Diagnosis,32
United States of America,USA,AMRO,Region of the Americas,2022-07-19,Onset,299
